交易 #,类型,信号,日期/时间,价格 USD
1,进场,tempeture_index,2015-02-15,256.66
1,出场,Close entry(s) order tempeture_index,2015-03-17,292.36
2,进场,tempeture_index,2015-04-06,261.49
2,出场,Close entry(s) order tempeture_index,2015-04-10,244.46
3,进场,tempeture_index,2015-04-24,235.95
3,出场,Close entry(s) order tempeture_index,2015-04-26,227.05
4,进场,tempeture_index,2015-05-01,236.78
4,出场,Close entry(s) order tempeture_index,2015-05-06,236.76
5,进场,tempeture_index,2015-05-12,242.74
5,出场,Close entry(s) order tempeture_index,2015-05-14,236.93
6,进场,tempeture_index,2015-05-25,240.68
6,出场,Close entry(s) order tempeture_index,2015-05-30,236.89
7,进场,tempeture_index,2015-06-12,229.68
1,进场,120_ma,2015-06-17,251.88
7,出场,Close entry(s) order tempeture_index,2015-06-24,244.54
1,出场,Close entry(s) order 120_ma,2015-06-25,240.14
2,进场,120_ma,2015-06-28,251.46
1,进场,ADX,2015-06-28,251.46
8,进场,tempeture_index,2015-07-01,263.83
8,出场,Close entry(s) order tempeture_index,2015-07-16,285.7
9,进场,tempeture_index,2015-07-27,293.88
9,出场,Close entry(s) order tempeture_index,2015-07-31,288.49
1,出场,Close entry(s) order ADX,2015-08-08,280.06
2,进场,ADX,2015-08-09,262.02
2,出场,Close entry(s) order 120_ma,2015-08-19,221.99
2,出场,Close entry(s) order ADX,2015-08-19,221.99
10,进场,tempeture_index,2015-09-05,231.43
10,出场,Close entry(s) order tempeture_index,2015-09-13,236.5
11,进场,tempeture_index,2015-09-26,235.88
3,进场,120_ma,2015-10-17,263.45
3,进场,ADX,2015-10-19,265
11,出场,Close entry(s) order tempeture_index,2015-11-09,373.84
12,进场,tempeture_index,2015-11-27,352.56
12,出场,Close entry(s) order tempeture_index,2015-12-05,363.98
13,进场,tempeture_index,2015-12-06,388.03
13,出场,Close entry(s) order tempeture_index,2015-12-21,442.36
3,出场,Close entry(s) order ADX,2016-01-04,431.9
14,进场,tempeture_index,2016-01-08,459.07
14,出场,Close entry(s) order tempeture_index,2016-01-11,449.99
15,进场,tempeture_index,2016-02-14,391
15,出场,Close entry(s) order tempeture_index,2016-03-03,420.44
16,进场,tempeture_index,2016-03-17,416.06
16,出场,Close entry(s) order tempeture_index,2016-03-30,416.4
17,进场,tempeture_index,2016-04-13,427.8
17,出场,Close entry(s) order tempeture_index,2016-04-29,451.67
18,进场,tempeture_index,2016-05-07,462.31
18,出场,Close entry(s) order tempeture_index,2016-05-20,437.91
19,进场,tempeture_index,2016-05-27,454.97
4,进场,ADX,2016-06-06,575.17
19,出场,Close entry(s) order tempeture_index,2016-06-22,667.88
4,出场,Close entry(s) order ADX,2016-07-01,673.5
20,进场,tempeture_index,2016-07-03,705.25
20,出场,Close entry(s) order tempeture_index,2016-07-08,641.97
21,进场,tempeture_index,2016-07-18,680
21,出场,Close entry(s) order tempeture_index,2016-07-23,654.7
3,出场,Close entry(s) order 120_ma,2016-08-03,538.8
4,进场,120_ma,2016-08-04,573.35
5,进场,ADX,2016-08-04,573.35
4,出场,Close entry(s) order 120_ma,2016-08-16,567.85
5,出场,Close entry(s) order ADX,2016-08-16,567.85
22,进场,tempeture_index,2016-08-23,585.19
22,出场,Close entry(s) order tempeture_index,2016-08-25,578.68
23,进场,tempeture_index,2016-09-04,600.93
5,进场,120_ma,2016-09-04,600.93
6,进场,ADX,2016-09-07,612.99
23,出场,Close entry(s) order tempeture_index,2016-09-13,606.86
6,出场,Close entry(s) order ADX,2016-09-17,607.95
5,出场,Close entry(s) order 120_ma,2016-09-20,608.6
24,进场,tempeture_index,2016-09-29,604.96
6,进场,120_ma,2016-10-12,642.3
7,进场,ADX,2016-10-18,639.56
24,出场,Close entry(s) order tempeture_index,2016-10-20,629.79
7,出场,Close entry(s) order ADX,2016-10-20,629.79
8,进场,ADX,2016-10-25,649.98
25,进场,tempeture_index,2016-10-26,654.3
25,出场,Close entry(s) order tempeture_index,2016-11-06,706.98
26,进场,tempeture_index,2016-11-17,738.07
8,出场,Close entry(s) order ADX,2016-11-22,736.39
26,出场,Close entry(s) order tempeture_index,2016-11-24,741.51
27,进场,tempeture_index,2016-12-01,742.51
9,进场,ADX,2016-12-17,780.85
27,出场,Close entry(s) order tempeture_index,2017-01-07,895.78
9,出场,Close entry(s) order ADX,2017-01-21,894.31
28,进场,tempeture_index,2017-01-22,925.06
28,出场,Close entry(s) order tempeture_index,2017-01-25,887
29,进场,tempeture_index,2017-02-01,970.01
10,进场,ADX,2017-02-10,993.58
29,出场,Close entry(s) order tempeture_index,2017-02-11,"1,001.88"
10,出场,Close entry(s) order ADX,2017-02-11,"1,001.88"
30,进场,tempeture_index,2017-02-21,"1,089.98"
11,进场,ADX,2017-02-24,"1,185.81"
30,出场,Close entry(s) order tempeture_index,2017-03-08,"1,237.32"
31,进场,tempeture_index,2017-03-13,"1,235.27"
31,出场,Close entry(s) order tempeture_index,2017-03-18,"1,068.78"
6,出场,Close entry(s) order 120_ma,2017-03-25,933.94
11,出场,Close entry(s) order ADX,2017-03-25,933.94
7,进场,120_ma,2017-03-28,"1,042.28"
12,进场,ADX,2017-03-30,"1,043.09"
32,进场,tempeture_index,2017-04-01,"1,088.99"
12,出场,Close entry(s) order ADX,2017-04-13,"1,214.68"
32,出场,Close entry(s) order tempeture_index,2017-04-16,"1,178.84"
33,进场,tempeture_index,2017-04-22,"1,249.98"
13,进场,ADX,2017-04-22,"1,249.98"
13,出场,Close entry(s) order ADX,2017-04-29,"1,352.96"
14,进场,ADX,2017-05-04,"1,533.00"
33,出场,Close entry(s) order tempeture_index,2017-05-28,"2,099.99"
34,进场,tempeture_index,2017-06-06,"2,698.00"
34,出场,Close entry(s) order tempeture_index,2017-06-14,"2,709.02"
35,进场,tempeture_index,2017-06-21,"2,725.11"
35,出场,Close entry(s) order tempeture_index,2017-06-25,"2,574.86"
14,出场,Close entry(s) order ADX,2017-06-25,"2,574.86"
15,进场,ADX,2017-07-03,"2,515.37"
15,出场,Close entry(s) order ADX,2017-07-04,"2,542.41"
36,进场,tempeture_index,2017-07-06,"2,616.96"
36,出场,Close entry(s) order tempeture_index,2017-07-08,"2,501.15"
37,进场,tempeture_index,2017-07-09,"2,560.84"
37,出场,Close entry(s) order tempeture_index,2017-07-11,"2,330.93"
16,进场,ADX,2017-07-12,"2,309.62"
38,进场,tempeture_index,2017-07-21,"2,873.45"
38,出场,Close entry(s) order tempeture_index,2017-07-26,"2,564.00"
16,出场,Close entry(s) order ADX,2017-07-28,"2,664.99"
39,进场,tempeture_index,2017-08-06,"3,243.50"
17,进场,ADX,2017-08-11,"3,444.98"
39,出场,Close entry(s) order tempeture_index,2017-08-22,"4,002.00"
17,出场,Close entry(s) order ADX,2017-08-29,"4,384.99"
40,进场,tempeture_index,2017-08-30,"4,599.01"
40,出场,Close entry(s) order tempeture_index,2017-09-05,"4,498.46"
18,进场,ADX,2017-09-22,"3,617.47"
41,进场,tempeture_index,2017-09-28,"4,200.00"
18,出场,Close entry(s) order ADX,2017-09-30,"4,156.99"
19,进场,ADX,2017-10-15,"5,819.13"
41,出场,Close entry(s) order tempeture_index,2017-10-25,"5,525.43"
19,出场,Close entry(s) order ADX,2017-10-29,"5,752.01"
20,进场,ADX,2017-10-30,"6,140.01"
42,进场,tempeture_index,2017-11-01,"6,445.01"
42,出场,Close entry(s) order tempeture_index,2017-11-11,"6,577.63"
43,进场,tempeture_index,2017-11-16,"7,294.00"
43,出场,Close entry(s) order tempeture_index,2017-12-21,"16,496.90"
44,进场,tempeture_index,2018-01-06,"16,960.01"
44,出场,Close entry(s) order tempeture_index,2018-01-09,"14,993.73"
20,出场,Close entry(s) order ADX,2018-01-10,"14,481.00"
21,进场,ADX,2018-01-19,"11,305.53"
7,出场,Close entry(s) order 120_ma,2018-01-31,"9,995.00"
21,出场,Close entry(s) order ADX,2018-01-31,"9,995.00"
45,进场,tempeture_index,2018-02-15,"9,472.98"
45,出场,Close entry(s) order tempeture_index,2018-02-24,"10,144.99"
46,进场,tempeture_index,2018-03-24,"8,927.80"
46,出场,Close entry(s) order tempeture_index,2018-03-25,"8,531.96"
47,进场,tempeture_index,2018-04-13,"7,915.99"
47,出场,Close entry(s) order tempeture_index,2018-04-18,"7,892.11"
48,进场,tempeture_index,2018-04-20,"8,274.00"
48,出场,Close entry(s) order tempeture_index,2018-05-02,"9,072.29"
49,进场,tempeture_index,2018-05-06,"9,799.99"
8,进场,120_ma,2018-05-06,"9,799.99"
49,出场,Close entry(s) order tempeture_index,2018-05-08,"9,356.25"
8,出场,Close entry(s) order 120_ma,2018-05-08,"9,356.25"
50,进场,tempeture_index,2018-06-06,"7,612.51"
50,出场,Close entry(s) order tempeture_index,2018-06-11,"6,770.31"
51,进场,tempeture_index,2018-07-03,"6,611.79"
51,出场,Close entry(s) order tempeture_index,2018-07-11,"6,303.69"
52,进场,tempeture_index,2018-07-17,"6,728.80"
9,进场,120_ma,2018-07-24,"7,720.08"
22,进场,ADX,2018-07-28,"8,182.64"
52,出场,Close entry(s) order tempeture_index,2018-08-01,"7,727.28"
9,出场,Close entry(s) order 120_ma,2018-08-04,"7,414.08"
22,出场,Close entry(s) order ADX,2018-08-04,"7,414.08"
53,进场,tempeture_index,2018-08-23,"6,359.99"
10,进场,120_ma,2018-09-03,"7,294.99"
53,出场,Close entry(s) order tempeture_index,2018-09-06,"6,687.96"
10,出场,Close entry(s) order 120_ma,2018-09-06,"6,687.96"
54,进场,tempeture_index,2018-09-22,"6,750.00"
54,出场,Close entry(s) order tempeture_index,2018-10-04,"6,466.03"
55,进场,tempeture_index,2018-10-06,"6,593.94"
55,出场,Close entry(s) order tempeture_index,2018-10-12,"6,154.68"
56,进场,tempeture_index,2018-10-18,"6,443.69"
56,出场,Close entry(s) order tempeture_index,2018-10-30,"6,266.00"
57,进场,tempeture_index,2018-11-05,"6,423.29"
57,出场,Close entry(s) order tempeture_index,2018-11-09,"6,406.24"
58,进场,tempeture_index,2018-12-20,"3,682.51"
58,出场,Close entry(s) order tempeture_index,2018-12-26,"3,780.00"
59,进场,tempeture_index,2019-02-09,"3,622.00"
59,出场,Close entry(s) order tempeture_index,2019-02-25,"3,734.23"
60,进场,tempeture_index,2019-03-08,"3,857.04"
11,进场,120_ma,2019-03-14,"3,851.02"
60,出场,Close entry(s) order tempeture_index,2019-03-25,"3,969.52"
61,进场,tempeture_index,2019-03-30,"4,091.01"
23,进场,ADX,2019-04-04,"4,975.13"
61,出场,Close entry(s) order tempeture_index,2019-04-15,"5,163.81"
62,进场,tempeture_index,2019-04-24,"5,532.75"
62,出场,Close entry(s) order tempeture_index,2019-04-26,"5,134.82"
63,进场,tempeture_index,2019-05-03,"5,390.00"
63,出场,Close entry(s) order tempeture_index,2019-05-23,"7,622.25"
64,进场,tempeture_index,2019-05-28,"8,772.29"
64,出场,Close entry(s) order tempeture_index,2019-05-31,"8,279.69"
23,出场,Close entry(s) order ADX,2019-06-12,"7,913.64"
65,进场,tempeture_index,2019-06-15,"8,697.45"
24,进场,ADX,2019-06-22,"10,235.59"
65,出场,Close entry(s) order tempeture_index,2019-07-01,"10,761.26"
66,进场,tempeture_index,2019-07-09,"12,293.39"
66,出场,Close entry(s) order tempeture_index,2019-07-14,"11,370.06"
24,出场,Close entry(s) order ADX,2019-07-19,"10,652.76"
67,进场,tempeture_index,2019-08-03,"10,533.62"
67,出场,Close entry(s) order tempeture_index,2019-08-13,"11,389.25"
