交易 #,类型,信号,日期/时间,价格 USD,当前仓位类型,持有BTC数量,当前总资产USD,当前持有信号,备注
1,进场,tempeture_index,2015-02-15,256.66,现货,3.8962050962362653,1000.0,tempeture_index,切换为现货(1 signal)
1,出场,Close entry(s) order tempeture_index,2015-03-17,292.36,空仓,0,1139.0945219356345,,全部平仓为空仓
2,进场,tempeture_index,2015-04-06,261.49,现货,4.356168579814273,1139.0945219356345,tempeture_index,切换为现货(1 signal)
2,出场,Close entry(s) order tempeture_index,2015-04-10,244.46,空仓,0,1064.9089710213973,,全部平仓为空仓
3,进场,tempeture_index,2015-04-24,235.95,现货,4.513282352283947,1064.9089710213973,tempeture_index,切换为现货(1 signal)
3,出场,Close entry(s) order tempeture_index,2015-04-26,227.05,空仓,0,1024.7407580860702,,全部平仓为空仓
4,进场,tempeture_index,2015-05-01,236.78,现货,4.327818050874526,1024.7407580860702,tempeture_index,切换为现货(1 signal)
4,出场,Close entry(s) order tempeture_index,2015-05-06,236.76,空仓,0,1024.6542017250526,,全部平仓为空仓
5,进场,tempeture_index,2015-05-12,242.74,现货,4.2212004685056135,1024.6542017250526,tempeture_index,切换为现货(1 signal)
5,出场,Close entry(s) order tempeture_index,2015-05-14,236.93,空仓,0,1000.129027003035,,全部平仓为空仓
6,进场,tempeture_index,2015-05-25,240.68,现货,4.155430559261405,1000.129027003035,tempeture_index,切换为现货(1 signal)
6,出场,Close entry(s) order tempeture_index,2015-05-30,236.89,空仓,0,984.3799451834342,,全部平仓为空仓
7,进场,tempeture_index,2015-06-12,229.68,现货,4.285875762728292,984.3799451834341,tempeture_index,切换为现货(1 signal)
1,进场,120_ma,2015-06-17,251.88,一倍合约,4.285875762728292,1079.526387116002,"120_ma,tempeture_index",切换为一倍合约
7,出场,Close entry(s) order tempeture_index,2015-06-24,244.54,现货,4.1609816540319855,1017.5264536769816,120_ma,切换为现货(1 signal)
1,出场,Close entry(s) order 120_ma,2015-06-25,240.14,空仓,0,999.218134399241,,全部平仓为空仓
